,Learning rates,Number of leaf nodes,Number of trees,MSE
456,0.06736842105263158,12.0,85.0,193991.4950444455
457,0.06736842105263158,12.0,90.0,198716.40747960747
458,0.06736842105263158,12.0,96.0,198677.32113550286
459,0.06736842105263158,12.0,101.0,200735.50781793232
460,0.06736842105263158,18.0,1.0,210033.8243369981
461,0.06736842105263158,18.0,6.0,157428.2089439339
462,0.06736842105263158,18.0,12.0,143096.37094101572
463,0.06736842105263158,18.0,17.0,117803.12186423212
464,0.06736842105263158,18.0,22.0,120434.50890925845
465,0.06736842105263158,18.0,27.0,121079.37318303788
466,0.06736842105263158,18.0,33.0,121835.45212202972
467,0.06736842105263158,18.0,38.0,123576.66380997584
468,0.06736842105263158,18.0,43.0,117091.72267381143
469,0.06736842105263158,18.0,48.0,109741.38637233099
470,0.06736842105263158,18.0,54.0,116699.80041823597
471,0.06736842105263158,18.0,59.0,118518.42269306238
472,0.06736842105263158,18.0,64.0,120335.45927264247
473,0.06736842105263158,18.0,69.0,121805.16695153833
474,0.06736842105263158,18.0,75.0,116590.33793125371
475,0.06736842105263158,18.0,80.0,111961.42758613819
476,0.06736842105263158,18.0,85.0,119517.22949359073
477,0.06736842105263158,18.0,90.0,119892.23402702753
478,0.06736842105263158,18.0,96.0,122562.70086841655
479,0.06736842105263158,18.0,101.0,114691.42175611624
480,0.06736842105263158,23.0,1.0,170815.58991944874
481,0.06736842105263158,23.0,6.0,121820.76549445948
482,0.06736842105263158,23.0,12.0,111700.18168797051
483,0.06736842105263158,23.0,17.0,104448.33021007305
484,0.06736842105263158,23.0,22.0,107894.67865815095
485,0.06736842105263158,23.0,27.0,112659.28659488015
486,0.06736842105263158,23.0,33.0,103561.67043530478
487,0.06736842105263158,23.0,38.0,100307.79671957139
488,0.06736842105263158,23.0,43.0,91612.5492006048
489,0.06736842105263158,23.0,48.0,98099.44284424382
490,0.06736842105263158,23.0,54.0,107486.14882432621
491,0.06736842105263158,23.0,59.0,99583.39119940459
492,0.06736842105263158,23.0,64.0,100122.84610376271
